# Matter power spectrum P(k) at redshift z=0
# for k=1.05078e-05 to 36.4877 h/Mpc,
# number of wavenumbers equal to 554
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.050775864144e-05       4.632990110485e+01 
       2.335379909331e-05       1.001701731084e+02 
       3.624499986474e-05       1.531213687531e+02 
       4.921585830513e-05       2.057303929135e+02 
       6.230144129434e-05       2.583121287797e+02 
       7.553769623832e-05       3.111045250512e+02 
       8.896177198398e-05       3.643122843574e+02 
       1.026123538995e-04       4.181248120147e+02 
       1.165300173982e-04       4.727254695244e+02 
       1.307576042188e-04       5.282971933361e+02 
       1.453406257795e-04       5.850264269642e+02 
       1.603276978694e-04       6.431062059108e+02 
       1.757710107649e-04       7.027387892354e+02 
       1.917268385052e-04       7.641380955347e+02 
       2.082560904199e-04       8.275320364571e+02 
       2.254249069596e-04       8.931648301283e+02 
       2.433053002674e-04       9.612993414020e+02 
       2.619758375302e-04       1.032219426669e+03 
       2.815223617091e-04       1.106232322887e+03 
       3.020387394360e-04       1.183670968294e+03 
       3.236276193238e-04       1.264896268273e+03 
       3.464011752645e-04       1.350299125646e+03 
       3.704817981227e-04       1.440302142268e+03 
       3.960026853074e-04       1.535360754995e+03 
       4.231082610385e-04       1.635963562724e+03 
       4.519543411873e-04       1.742631523160e+03 
       4.827079366588e-04       1.855915603818e+03 
       5.155465707926e-04       1.976392489203e+03 
       5.506569731213e-04       2.104657834663e+03 
       5.882330096566e-04       2.241316639571e+03 
       6.284727258074e-04       2.386970381398e+03 
       6.715744198288e-04       2.542200781476e+03 
       7.177317388121e-04       2.707550268381e+03 
       7.671278977868e-04       2.883499815419e+03 
       8.199292597029e-04       3.070445146874e+03 
       8.762786630187e-04       3.268672949409e+03 
       9.362890159897e-04       3.478339148184e+03 
       1.000037756867e-03       3.699451459447e+03 
       1.067562773594e-03       3.931858375893e+03 
       1.138860266716e-03       4.175246207076e+03 
       1.213884832345e-03       4.429144921960e+03 
       1.292551774132e-03       4.692942642714e+03 
       1.374741380208e-03       4.965869225747e+03 
       1.460304681646e-03       5.247127135787e+03 
       1.549070084834e-03       5.535829966729e+03 
       1.640850254932e-03       5.831049516253e+03 
       1.735448706037e-03       6.131847444576e+03 
       1.832665691987e-03       6.437297991776e+03 
       1.932303151156e-03       6.746506327672e+03 
       2.034168606818e-03       7.058622635663e+03 
       2.138078041904e-03       7.372851371552e+03 
       2.243857846007e-03       7.688457868284e+03 
       2.351345975517e-03       8.004770257020e+03 
       2.460392482188e-03       8.321179827956e+03 
       2.570859560188e-03       8.637139955482e+03 
       2.682621244941e-03       8.952161614870e+03 
       2.795562875189e-03       9.265811790282e+03 
       2.909580406989e-03       9.577706952424e+03 
       3.024579647358e-03       9.887510566157e+03 
       3.140475457214e-03       1.019492849082e+04 
       3.257190958557e-03       1.049970257024e+04 
       3.374656769297e-03       1.080161105211e+04 
       3.492810280409e-03       1.110045870096e+04 
       3.611594983697e-03       1.139608013183e+04 
       3.730959853909e-03       1.168833343592e+04 
       3.850858785787e-03       1.197709640412e+04 
       3.971250084596e-03       1.226226636971e+04 
       4.092096007385e-03       1.254376003811e+04 
       4.213362351479e-03       1.282150483690e+04 
       4.335018086378e-03       1.309544104560e+04 
       4.457035025141e-03       1.336552510584e+04 
       4.579387531425e-03       1.363171846302e+04 
       4.702052258526e-03       1.389399518544e+04 
       4.825007917034e-03       1.415232963089e+04 
       4.948235067987e-03       1.440670473690e+04 
       5.071715938684e-03       1.465714366419e+04 
       5.195434258622e-03       1.485024720017e+04 
       5.319375113265e-03       1.509066127754e+04 
       5.443524813612e-03       1.532709964138e+04 
       5.567870779760e-03       1.555957613891e+04 
       5.692401436863e-03       1.578811138874e+04 
       5.817106122071e-03       1.601271745487e+04 
       5.941975001195e-03       1.623341132410e+04 
       6.066998994007e-03       1.645023416490e+04 
       6.192169707189e-03       1.666319411145e+04 
       6.317479374092e-03       1.687231738702e+04 
       6.442920800531e-03       1.707763729662e+04 
       6.568487315966e-03       1.727917554722e+04 
       6.694172729465e-03       1.747697068749e+04 
       6.819971289951e-03       1.767105335771e+04 
       6.945877650251e-03       1.786144987683e+04 
       7.071886834562e-03       1.804819385878e+04 
       7.197994208963e-03       1.823132257414e+04 
       7.324195454657e-03       1.841085997241e+04 
       7.450486543669e-03       1.858684646962e+04 
       7.576863716739e-03       1.875932411099e+04 
       7.703323463198e-03       1.892831649936e+04 
       7.829862502618e-03       1.909386275850e+04 
       7.956477768072e-03       1.925599334892e+04 
       8.083166390842e-03       1.941474674615e+04 
       8.209925686435e-03       1.957015084334e+04 
       8.336753141772e-03       1.972225242838e+04 
       8.463646403468e-03       1.987108630262e+04 
       8.590603267062e-03       2.001668427331e+04 
       8.717621667140e-03       2.015907594338e+04 
       8.844699668258e-03       2.029829638130e+04 
       8.971835456587e-03       2.043438739780e+04 
       9.099027332229e-03       2.056737601510e+04 
       9.226273702129e-03       2.069730060464e+04 
       9.353573073545e-03       2.082419332643e+04 
       9.480924048018e-03       2.094808340026e+04 
       9.608325315808e-03       2.106901142414e+04 
       9.735775650740e-03       2.118700958178e+04 
       9.863273905452e-03       2.130210027578e+04 
       9.990819006987e-03       2.141432741546e+04 
       1.011840995271e-02       2.152371471201e+04 
       1.024604580653e-02       2.163029526689e+04 
       1.037372569540e-02       2.173410971075e+04 
       1.050144880605e-02       2.183517925703e+04 
       1.062921438199e-02       2.193353579535e+04 
       1.075702172070e-02       2.202921415293e+04 
       1.088487017099e-02       2.212224045434e+04 
       1.101275913065e-02       2.221265358209e+04 
       1.114068804415e-02       2.230047661708e+04 
       1.126865640057e-02       2.238574278036e+04 
       1.139666373164e-02       2.246847341115e+04 
       1.152470960995e-02       2.254870862166e+04 
       1.165279364724e-02       2.262648958889e+04 
       1.178091549286e-02       2.270181998655e+04 
       1.190907483234e-02       2.277473696580e+04 
       1.203727138594e-02       2.284527286372e+04 
       1.216550490750e-02       2.291346054847e+04 
       1.229377518321e-02       2.297931888889e+04 
       1.242208203053e-02       2.304287850564e+04 
       1.255042529718e-02       2.310416927972e+04 
       1.267880486020e-02       2.316322026184e+04 
       1.280722062511e-02       2.322004478050e+04 
       1.293567252505e-02       2.327470581885e+04 
       1.306416052008e-02       2.332719527518e+04 
       1.319268459646e-02       2.337755098606e+04 
       1.332124476603e-02       2.342580187197e+04 
       1.344984106561e-02       2.347197071242e+04 
       1.357847355648e-02       2.351608385937e+04 
       1.370714232386e-02       2.355816989334e+04 
       1.383584747648e-02       2.359824960152e+04 
       1.396458914614e-02       2.363634681755e+04 
       1.409336748735e-02       2.367248103164e+04 
       1.422218267701e-02       2.370669345032e+04 
       1.435103491406e-02       2.373899964551e+04 
       1.447992441924e-02       2.376941330938e+04 
       1.460885143485e-02       2.379796542860e+04 
       1.473781622451e-02       2.382468047618e+04 
       1.486681907301e-02       2.384958373816e+04 
       1.499586028612e-02       2.387270034353e+04 
       1.512494019050e-02       2.389403903612e+04 
       1.525405913354e-02       2.391364006149e+04 
       1.538321748334e-02       2.393151405012e+04 
       1.551241562860e-02       2.394769017508e+04 
       1.564165397863e-02       2.396218975394e+04 
       1.577093296330e-02       2.397502564859e+04 
       1.590025303306e-02       2.398622392456e+04 
       1.602961465896e-02       2.399580986049e+04 
       1.615901833274e-02       2.400380600112e+04 
       1.628846456682e-02       2.401023254217e+04 
       1.641795389447e-02       2.401509934087e+04 
       1.654748686986e-02       2.401844161749e+04 
       1.667706406819e-02       2.402027663542e+04 
       1.680668608586e-02       2.402062893794e+04 
       1.693635354060e-02       2.401949125401e+04 
       1.706606707166e-02       2.401692372692e+04 
       1.719582733999e-02       2.401292238371e+04 
       1.732563502847e-02       2.400751385847e+04 
       1.745549084213e-02       2.400071415510e+04 
       1.758539550839e-02       2.399254235739e+04 
       1.771534977731e-02       2.398302655742e+04 
       1.784535442191e-02       2.397218144066e+04 
       1.797541023840e-02       2.396000888004e+04 
       1.810551804655e-02       2.394656165443e+04 
       1.823567868998e-02       2.393184212833e+04 
       1.836589303653e-02       2.391585647346e+04 
       1.849616197859e-02       2.389863425414e+04 
       1.862648643351e-02       2.388019973707e+04 
       1.875686734398e-02       2.386056368633e+04 
       1.888730567841e-02       2.383973262534e+04 
       1.901780243144e-02       2.381775333896e+04 
       1.914835862431e-02       2.379462306595e+04 
       1.927897530534e-02       2.377037043512e+04 
       1.940965355044e-02       2.374500329017e+04 
       1.954039446360e-02       2.371856345973e+04 
       1.967119917738e-02       2.369102973924e+04 
       1.980206885349e-02       2.366242462148e+04 
       1.993300468332e-02       2.363280396278e+04 
       2.006400788853e-02       2.360214401363e+04 
       2.019507972162e-02       2.357047823558e+04 
       2.032622146660e-02       2.353783631967e+04 
       2.045743443957e-02       2.350418875819e+04 
       2.058871998942e-02       2.346964478491e+04 
       2.072007949849e-02       2.343412872537e+04 
       2.085151438327e-02       2.339767334139e+04 
       2.098302609515e-02       2.336031361901e+04 
       2.111461612113e-02       2.332208785920e+04 
       2.124628598465e-02       2.328296030652e+04 
       2.137803724633e-02       2.324300665066e+04 
       2.150987150483e-02       2.320219091181e+04 
       2.164179039769e-02       2.316052258677e+04 
       2.177379560219e-02       2.311809144935e+04 
       2.190588883628e-02       2.307479414215e+04 
       2.203807185950e-02       2.303076155263e+04 
       2.217034647393e-02       2.298594065684e+04 
       2.230271452523e-02       2.294036424471e+04 
       2.243517790357e-02       2.289405917333e+04 
       2.256773854478e-02       2.284705071036e+04 
       2.270039843139e-02       2.279928682814e+04 
       2.283315959376e-02       2.275086525752e+04 
       2.296602411122e-02       2.270173515473e+04 
       2.309899411330e-02       2.265193104874e+04 
       2.323207178092e-02       2.260148561544e+04 
       2.336525934769e-02       2.255040706771e+04 
       2.349855910122e-02       2.249871433183e+04 
