# Matter power spectrum P(k) at redshift z=0
# for k=1.05078e-05 to 36.5153 h/Mpc,
# number of wavenumbers equal to 554
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.050775643281e-05       4.533139783475e+01 
       2.335822474937e-05       9.802926135140e+01 
       3.625389040499e-05       1.498568113574e+02 
       4.922928651888e-05       2.013495622653e+02 
       6.231951663650e-05       2.528158306394e+02 
       7.556056626414e-05       3.044886301386e+02 
       8.898962434547e-05       3.565684219213e+02 
       1.026454189362e-04       4.092407029451e+02 
       1.165685713654e-04       4.626850590977e+02 
       1.308019732065e-04       5.170806698691e+02 
       1.453911903857e-04       5.726101652828e+02 
       1.603848987003e-04       6.294626306030e+02 
       1.758353548451e-04       6.878362083114e+02 
       1.917989066864e-04       7.479404632916e+02 
       2.083365458814e-04       8.099986859881e+02 
       2.255145048950e-04       8.742501514842e+02 
       2.434048988421e-04       9.409524084619e+02 
       2.620864101790e-04       1.010383596237e+03 
       2.816450108084e-04       1.082844757882e+03 
       3.021747113342e-04       1.158662145612e+03 
       3.237783206306e-04       1.238189415130e+03 
       3.465681901835e-04       1.321809629966e+03 
       3.706669064485e-04       1.409936916092e+03 
       3.962078804917e-04       1.503017576982e+03 
       4.233357674478e-04       1.601530406964e+03 
       4.522066293369e-04       1.705985887632e+03 
       4.829877348098e-04       1.816923882855e+03 
       5.158568708836e-04       1.934909407470e+03 
       5.510010286148e-04       2.060525991708e+03 
       5.886143226059e-04       2.194366220530e+03 
       6.288950204107e-04       2.337019103547e+03 
       6.720416000720e-04       2.489054113163e+03 
       7.182478286549e-04       2.651002038344e+03 
       7.676969638083e-04       2.823333195117e+03 
       8.205553181619e-04       3.006434148354e+03 
       8.769655757080e-04       3.200584385206e+03 
       9.370403816752e-04       3.405935047136e+03 
       1.000856806946e-03       3.622491908610e+03 
       1.068452281323e-03       3.850104643891e+03 
       1.139822478573e-03       4.088464076044e+03 
       1.214921427739e-03       4.337107946213e+03 
       1.293663856233e-03       4.595435282556e+03 
       1.375929496806e-03       4.862687741580e+03 
       1.461568871522e-03       5.138087893731e+03 
       1.550409942814e-03       5.420764607048e+03 
       1.642265007844e-03       5.709808450386e+03 
       1.736937292145e-03       6.004300407279e+03 
       1.834226837770e-03       6.303334062221e+03 
       1.933935441037e-03       6.606033573053e+03 
       2.035870543248e-03       6.911567343047e+03 
