# Matter power spectrum P(k) at redshift z=0
# for k=1.04991e-05 to 36.5145 h/Mpc,
# number of wavenumbers equal to 554
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049910072347e-05       4.628202581571e+01 
       2.334955014122e-05       1.001288260630e+02 
       3.624517374068e-05       1.530860492930e+02 
       4.922050436009e-05       2.057012639800e+02 
       6.231064505628e-05       2.582896897828e+02 
       7.555158063401e-05       3.110895943860e+02 
       8.898049911442e-05       3.643059714115e+02 
       1.026361273986e-04       4.181285273607e+02 
       1.165590854151e-04       4.727409470479e+02 
       1.307922630741e-04       5.283265215611e+02 
       1.453812243557e-04       5.850720969181e+02 
       1.603746428064e-04       6.431711566755e+02 
       1.758247725396e-04       7.028264729735e+02 
       1.917879584821e-04       7.642525543422e+02 
       2.083251889645e-04       8.276779870607e+02 
       2.255026927074e-04       8.933477775034e+02 
       2.433925806338e-04       9.615256952455e+02 
       2.620735305330e-04       1.032496655559e+03 
       2.816315091434e-04       1.106569115608e+03 
       3.021605213936e-04       1.184077447342e+03 
       3.237633699721e-04       1.265384205508e+03 
       3.465523996901e-04       1.350882218110e+03 
       3.706501898896e-04       1.440996302373e+03 
       3.961901441744e-04       1.536184449331e+03 
       4.233169100097e-04       1.636938176509e+03 
       4.521865417455e-04       1.743781760526e+03 
       4.829663006471e-04       1.857269888455e+03 
       5.158339670049e-04       1.977983367958e+03 
       5.509765262774e-04       2.106522340746e+03 
       5.885880891597e-04       2.243496584607e+03 
       6.288669216221e-04       2.389512514287e+03 
       6.720115031161e-04       2.545156747266e+03 
       7.182156057477e-04       2.710976318587e+03 
       7.676624963656e-04       2.887456190678e+03 
       8.205185012731e-04       3.074995092626e+03 
       8.769263226150e-04       3.273881371021e+03 
       9.369986278683e-04       3.484270928376e+03 
       1.000812513464e-03       3.706169611258e+03 
       1.068405436882e-03       3.939422082195e+03 
       1.139773100257e-03       4.183709138688e+03 
       1.214869560163e-03       4.438553831277e+03 
       1.293609569250e-03       4.703336539774e+03 
       1.375872882049e-03       4.977276298322e+03 
       1.461510038136e-03       5.259572669999e+03 
       1.550349012825e-03       5.549329725663e+03 
       1.642202111557e-03       5.845612772023e+03 
       1.736872563902e-03       6.147477924344e+03 
       1.834160412280e-03       6.453994630073e+03 
       1.933867450397e-03       6.764264134399e+03 
       2.035801114673e-03       7.077433368493e+03 
       2.139777348980e-03       7.392704167674e+03 
       2.245622541662e-03       7.709339958071e+03 
       2.353174676470e-03       8.026667106215e+03 
       2.462283853120e-03       8.344075810858e+03 
       2.572812327687e-03       8.661018813299e+03 
       2.684634206108e-03       8.977006225601e+03 
       2.797634902123e-03       9.291604744605e+03 
       2.911710448191e-03       9.604430615625e+03 
       3.026766726905e-03       9.915147101099e+03 
       3.142718672385e-03       1.022346005359e+04 
       3.259489476456e-03       1.052911147345e+04 
       3.377009822855e-03       1.083187949436e+04 
       3.495217164078e-03       1.113156928679e+04 
       3.614055049035e-03       1.142801556357e+04 
       3.733472505213e-03       1.172107615368e+04 
       3.853423475869e-03       1.201062974944e+04 
       3.973866310771e-03       1.229657476668e+04 
       4.094763307698e-03       1.257882438463e+04 
       4.216080301197e-03       1.285731004831e+04 
       4.337786294752e-03       1.313197107575e+04 
       4.459853132427e-03       1.340276446069e+04 
       4.582255206161e-03       1.366965138774e+04 
       4.704969195046e-03       1.393260656806e+04 
       4.827973833208e-03       1.419160375810e+04 
       4.951249703165e-03       1.444662801017e+04 
       5.074779051834e-03       1.469770095657e+04 
       5.198545626637e-03       1.494479455667e+04 
       5.322534529434e-03       1.518792723471e+04 
       5.446732086229e-03       1.542709457921e+04 
       5.571125730867e-03       1.566231189351e+04 
       5.695703901112e-03       1.589359371496e+04 
       5.820455945688e-03       1.612095125964e+04 
       5.945372041043e-03       1.634440891262e+04 
       6.070443116732e-03       1.656399116670e+04 
       6.195660788453e-03       1.677971607686e+04 
       6.321017297865e-03       1.699160931017e+04 
       6.446505458453e-03       1.719970125947e+04 
       6.572118606765e-03       1.740400882537e+04 
       6.697850558428e-03       1.760457339208e+04 
       6.823695568436e-03       1.780142401531e+04 
       6.949648295251e-03       1.799458685780e+04 
       7.075703768296e-03       1.818409490914e+04 
       7.201857358510e-03       1.836998263535e+04 
       7.328104751617e-03       1.855227235822e+04 
       7.454441923855e-03       1.873100874313e+04 
       7.580865119891e-03       1.890622109302e+04 
       7.707370832722e-03       1.907794586085e+04 
       7.833955785347e-03       1.924621833234e+04 
       7.960616914048e-03       1.941106082603e+04 
       8.087351353111e-03       1.957251974428e+04 
       8.214156420859e-03       1.973061933140e+04 
       8.341029606861e-03       1.988540466510e+04 
       8.467968560217e-03       2.003689949830e+04 
       8.594971078806e-03       2.018514704726e+04 
       8.722035099418e-03       2.033017964023e+04 
       8.849158688689e-03       2.047203138527e+04 
       8.976340034753e-03       2.061072333113e+04 
       9.103577439566e-03       2.074630447419e+04 
       9.230869311831e-03       2.087880439406e+04 
       9.358214160468e-03       2.100825210995e+04 
       9.485610588598e-03       2.113467951031e+04 
       9.613057287977e-03       2.125812683246e+04 
       9.740553033857e-03       2.137862169155e+04 
       9.868096680230e-03       2.149619143368e+04 
       9.995687155431e-03       2.161087368773e+04 
       1.012332345806e-02       2.172269357569e+04 
       1.025100465320e-02       2.183168713751e+04 
       1.037872986894e-02       2.193788374858e+04 
       1.050649829308e-02       2.204132498910e+04 
       1.063430917016e-02       2.214201325861e+04 
       1.076216179865e-02       2.224001940999e+04 
       1.089005552833e-02       2.233534028534e+04 
       1.101798975791e-02       2.242801166838e+04 
       1.114596393272e-02       2.251807055765e+04 
       1.127397754271e-02       2.260555099690e+04 
       1.140203012043e-02       2.269046909657e+04 
       1.153012123926e-02       2.277285829568e+04 
       1.165825051173e-02       2.285276482790e+04 
       1.178641758794e-02       2.293019576553e+04 
       1.191462215411e-02       2.300518178056e+04 
       1.204286393125e-02       2.307775623700e+04 
       1.217114267387e-02       2.314795982935e+04 
       1.229945816883e-02       2.321581032244e+04 
       1.242781023424e-02       2.328130816375e+04 
       1.255619871846e-02       2.334452544626e+04 
       1.268462349918e-02       2.340546777732e+04 
       1.281308448250e-02       2.346416158216e+04 
       1.294158160218e-02       2.352063283255e+04 
       1.307011481887e-02       2.357492153423e+04 
       1.319868411941e-02       2.362703017301e+04 
       1.332728951620e-02       2.367702614575e+04 
       1.345593104666e-02       2.372489033213e+04 
       1.358460877259e-02       2.377067005468e+04 
       1.371332277978e-02       2.381438805542e+04 
       1.384207317750e-02       2.385606348209e+04 
       1.397086009809e-02       2.389572595546e+04 
       1.409968369660e-02       2.393339338901e+04 
       1.422854415046e-02       2.396910010046e+04 
       1.435744165914e-02       2.400285833496e+04 
       1.448637644391e-02       2.403469373169e+04 
       1.461534874759e-02       2.406464539497e+04 
       1.474435883433e-02       2.409272546408e+04 
       1.487340698943e-02       2.411895571480e+04 
       1.500249351919e-02       2.414335420674e+04 
       1.513161875078e-02       2.416595090019e+04 
       1.526078303214e-02       2.418677139984e+04 
       1.538998673187e-02       2.420583259121e+04 
       1.551923023921e-02       2.422315232801e+04 
       1.564851396399e-02       2.423875883897e+04 
       1.577783833660e-02       2.425268173662e+04 
       1.590720380804e-02       2.426492504058e+04 
       1.603661084989e-02       2.427552260517e+04 
       1.616605995442e-02       2.428448715600e+04 
       1.629555163461e-02       2.429185431103e+04 
       1.642508642426e-02       2.429762950533e+04 
       1.655466487810e-02       2.430179477661e+04 
       1.668428757190e-02       2.430451333866e+04 
       1.681395510260e-02       2.430564138454e+04 
       1.694366808851e-02       2.430526261971e+04 
       1.707342716946e-02       2.430343432754e+04 
       1.720323300698e-02       2.430005827225e+04 
       1.733308628454e-02       2.429539745883e+04 
       1.746298770777e-02       2.428917914813e+04 
       1.759293800468e-02       2.428150447393e+04 
       1.772293792597e-02       2.427258032734e+04 
       1.785298824525e-02       2.426230781707e+04 
       1.798308975938e-02       2.425067894129e+04 
       1.811324328877e-02       2.423763812528e+04 
       1.824344967769e-02       2.422322878733e+04 
       1.837370979464e-02       2.420773309605e+04 
       1.850402453267e-02       2.419083012868e+04 
       1.863439480982e-02       2.417267509290e+04 
       1.876482156947e-02       2.415341782681e+04 
       1.889530578076e-02       2.413287220275e+04 
       1.902584843901e-02       2.411110216437e+04 
       1.915645056620e-02       2.408813553452e+04 
       1.928711321140e-02       2.406391447940e+04 
       1.941783745128e-02       2.403869816435e+04 
       1.954862439059e-02       2.401242103307e+04 
       1.967947516269e-02       2.398490015408e+04 
       1.981039093007e-02       2.395629704050e+04 
       1.994137288495e-02       2.392679679545e+04 
       2.007242224980e-02       2.389598388065e+04 
       2.020354027800e-02       2.386435066768e+04 
       2.033472825440e-02       2.383167541398e+04 
       2.046598749599e-02       2.379791548991e+04 
       2.059731935254e-02       2.376320978697e+04 
       2.072872520733e-02       2.372750215018e+04 
       2.086020647778e-02       2.369074362134e+04 
       2.099176461622e-02       2.365320597233e+04 
       2.112340111065e-02       2.361473339000e+04 
       2.125511748549e-02       2.357521314136e+04 
       2.138691530238e-02       2.353498456907e+04 
       2.151879616101e-02       2.349375797175e+04 
       2.165076169999e-02       2.345176190130e+04 
       2.178281359769e-02       2.340888400976e+04 
       2.191495357316e-02       2.336518342669e+04 
       2.204718338707e-02       2.332078368430e+04 
       2.217950484267e-02       2.327547979611e+04 
       2.231191978677e-02       2.322951429748e+04 
       2.244443011079e-02       2.318260015320e+04 
       2.257703775178e-02       2.313495715284e+04 
       2.270974469353e-02       2.308661532903e+04 
       2.284255296769e-02       2.303757392004e+04 
       2.297546465492e-02       2.298783860803e+04 
       2.310848188611e-02       2.293729425926e+04 
       2.324160684356e-02       2.288620156465e+04 
       2.337484176230e-02       2.283445406361e+04 
       2.350818893138e-02       2.278193542168e+04 
       2.364165069522e-02       2.272893426342e+04 
       2.377522945499e-02       2.267521660831e+04 
       2.390892767011e-02       2.262085113480e+04 
       2.404274785963e-02       2.256592762699e+04 
       2.417669260389e-02       2.251045598322e+04 
       2.431076454598e-02       2.245437842284e+04 
       2.444496639346e-02       2.239769516511e+04 
       2.457930092000e-02       2.234054398243e+04 
       2.471377096716e-02       2.228279791233e+04 
       2.484837944613e-02       2.222454060531e+04 
       2.498312933964e-02       2.216591891751e+04 
       2.511802370386e-02       2.210655549583e+04 
       2.525306567039e-02       2.204685042032e+04 
       2.538825844829e-02       2.198664092865e+04 
       2.552360532620e-02       2.192592333295e+04 
       2.565910967455e-02       2.186478997788e+04 
       2.579477494783e-02       2.180317498778e+04 
       2.593060468687e-02       2.174119089910e+04 
       2.606660252134e-02       2.167874999323e+04 
       2.620277217220e-02       2.161598803752e+04 
       2.633911745432e-02       2.155280836112e+04 
       2.647564227914e-02       2.148909242755e+04 
       2.661235065747e-02       2.142515194587e+04 
       2.674924670235e-02       2.136083503398e+04 
       2.688633463204e-02       2.129613067027e+04 
       2.702361877310e-02       2.123110159329e+04 
       2.716110356357e-02       2.116574548094e+04 
       2.729879355632e-02       2.110002099526e+04 
       2.743669342245e-02       2.103402201450e+04 
       2.757480795486e-02       2.096774008732e+04 
       2.771314207195e-02       2.090105481834e+04 
       2.785170082147e-02       2.083429484113e+04 
       2.799048938445e-02       2.076708709116e+04 
       2.812951307936e-02       2.069964250476e+04 
       2.826877736640e-02       2.063194531076e+04 
       2.840828785192e-02       2.056408106941e+04 
       2.854805029307e-02       2.049587716354e+04 
       2.868807060262e-02       2.042747695050e+04 
       2.882835485389e-02       2.035894945229e+04 
       2.896890928601e-02       2.029008992661e+04 
       2.910974030930e-02       2.022104287248e+04 
       2.925085451085e-02       2.015184568824e+04 
       2.939225866045e-02       2.008240573604e+04 
       2.953395971658e-02       2.001285120177e+04 
       2.967596483283e-02       1.994298844373e+04 
       2.981828136446e-02       1.987310220013e+04 
       2.996091687530e-02       1.980297083811e+04 
       3.010387914492e-02       1.973273307206e+04 
       3.024717617611e-02       1.966230057243e+04 
       3.039081620268e-02       1.959183362485e+04 
       3.053480769762e-02       1.952112410091e+04 
       3.067915938159e-02       1.945035110279e+04 
       3.082388023179e-02       1.937940944888e+04 
       3.096897949128e-02       1.930839466773e+04 
       3.111446667860e-02       1.923725085799e+04 
       3.126035159797e-02       1.916599941759e+04 
       3.140664434989e-02       1.909472131258e+04 
       3.155335534218e-02       1.902326132068e+04 
       3.170049530165e-02       1.895177890450e+04 
       3.184807528622e-02       1.888019996316e+04 
       3.199610669771e-02       1.880850808457e+04 
       3.214460129513e-02       1.873679807542e+04 
       3.229357120875e-02       1.866501864759e+04 
       3.244302895474e-02       1.859317810254e+04 
       3.259298745063e-02       1.852127051511e+04 
       3.274346003146e-02       1.844933583919e+04 
       3.289446046685e-02       1.837732661274e+04 
       3.304600297882e-02       1.830535271445e+04 
       3.319810226064e-02       1.823323228009e+04 
