# Matter power spectrum P(k) at redshift z=0
# for k=1.0534e-05 to 36.6482 h/Mpc,
# number of wavenumbers equal to 554
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.053399988327e-05       4.567372609041e+01 
       2.340544750864e-05       9.872428594755e+01 
       3.632233811507e-05       1.508998731624e+02 
       4.931937502862e-05       2.027397324882e+02 
       6.243183688310e-05       2.545546182533e+02 
       7.569589172776e-05       3.065795409556e+02 
       8.914892119317e-05       3.590167864512e+02 
       1.028298590198e-04       4.120536217612e+02 
       1.167795482867e-04       4.658714120718e+02 
       1.310411217120e-04       5.206511709470e+02 
       1.456604094013e-04       5.765774552981e+02 
       1.606863783619e-04       6.338414009281e+02 
       1.761716079245e-04       6.926433508838e+02 
       1.921728048419e-04       7.531952583163e+02 
       2.087513611841e-04       8.157230103467e+02 
       2.259739570753e-04       8.804687245988e+02 
       2.439132086621e-04       9.476930740527e+02 
       2.626483592456e-04       1.017677627540e+03 
       2.822660079781e-04       1.090727204348e+03 
       3.028608655922e-04       1.167172206963e+03 
       3.245365199267e-04       1.247370848619e+03 
       3.474061851249e-04       1.331711172605e+03 
       3.715933969446e-04       1.420612729349e+03 
       3.972326023754e-04       1.514527684130e+03 
       4.244695747265e-04       1.613941103513e+03 
       4.534615660573e-04       1.719370115006e+03 
       4.843770886029e-04       1.831361499410e+03 
       5.173951982326e-04       1.950487332693e+03 
       5.527041400304e-04       2.077338166823e+03 
       5.904992146231e-04       2.212513326255e+03 
       6.309797412219e-04       2.356607960571e+03 
       6.743450373919e-04       2.510196744178e+03 
       7.207894127326e-04       2.673814329765e+03 
       7.704962857814e-04       2.847933206296e+03 
       8.236316740230e-04       3.032940029693e+03 
       8.803374580022e-04       3.229112074973e+03 
       9.407249526766e-04       3.436595854899e+03 
       1.004869395779e-03       3.655390146612e+03 
       1.072805950559e-03       3.885335537192e+03 
       1.144527701434e-03       4.126112090570e+03 
       1.219985905246e-03       4.377245685819e+03 
       1.299092486433e-03       4.638123001116e+03 
       1.381724489417e-03       4.907971466302e+03 
       1.467729984876e-03       5.186005264611e+03 
       1.556934809032e-03       5.471341554072e+03 
       1.649149508072e-03       5.763061699518e+03 
       1.744175945800e-03       6.060238895769e+03 
       1.841813176336e-03       6.361960338348e+03 
       1.941862345605e-03       6.667345069870e+03 
       2.044130533802e-03       6.975557536993e+03 
       2.148433566676e-03       7.285816603766e+03 
       2.254597900239e-03       7.597401475793e+03 
       2.362461724147e-03       7.909653521491e+03 
       2.471875441338e-03       8.221976658162e+03 
       2.582701674754e-03       8.533835873314e+03 
       2.694814934195e-03       8.844752678045e+03 
       2.808101053885e-03       9.154303656298e+03 
       2.922456488357e-03       9.462114013599e+03 
       3.037787533203e-03       9.767854584408e+03 
       3.154009519257e-03       1.007123851747e+04 
       3.271046014191e-03       1.037201295472e+04 
       3.388828054147e-03       1.066996244432e+04 
       3.507293419425e-03       1.096489530611e+04 
       3.626385962028e-03       1.125665028422e+04 
       3.746054988389e-03       1.154508896775e+04 
       3.866254697600e-03       1.183009229246e+04 
       3.986943673458e-03       1.211156061768e+04 
       4.108084427431e-03       1.238940943322e+04 
       4.229642988924e-03       1.266357126673e+04 
       4.351588538960e-03       1.293398746954e+04 
       4.473893083297e-03       1.320061361154e+04 
       4.596531161113e-03       1.346341349115e+04 
       4.719479585592e-03       1.372236194113e+04 
       4.842717213018e-03       1.397743298975e+04 
       4.966224737255e-03       1.422861137497e+04 
       5.089984506769e-03       1.447591773051e+04 
       5.213980361673e-03       1.471932157790e+04 
       5.338197488494e-03       1.495885079537e+04 
       5.462622290656e-03       1.519449303511e+04 
       5.587242272860e-03       1.542626138118e+04 
       5.712045937782e-03       1.565417438113e+04 
       5.837022693682e-03       1.587824197077e+04 
       5.962162771673e-03       1.609848466488e+04 
       6.087457151553e-03       1.631492987412e+04 
       6.212897495257e-03       1.652759370348e+04 
       6.338476087037e-03       1.673649970961e+04 
       6.464185779667e-03       1.694167807620e+04 
       6.590019945972e-03       1.714314759825e+04 
       6.715972435114e-03       1.734094613557e+04 
       6.842037533132e-03       1.753510271112e+04 
       6.968209927246e-03       1.772564205162e+04 
       7.094484673565e-03       1.791259489793e+04 
       7.220857167810e-03       1.809599769545e+04 
       7.347323118750e-03       1.827587375271e+04 
       7.473878524072e-03       1.845226135393e+04 
       7.600519648438e-03       1.862519186473e+04 
       7.727243003499e-03       1.879470325873e+04 
       7.854045329678e-03       1.896082093554e+04 
       7.980923579554e-03       1.912357845567e+04 
       8.107874902668e-03       1.928301050405e+04 
       8.234896631642e-03       1.943914468731e+04 
       8.361986269466e-03       1.959202873073e+04 
       8.489141477842e-03       1.974168888403e+04 
       8.616360066504e-03       1.988816003998e+04 
       8.743639983407e-03       2.003147072977e+04 
       8.870979305706e-03       2.017165342004e+04 
       8.998376231463e-03       2.030874529744e+04 
       9.125829072016e-03       2.044277606158e+04 
       9.253336244937e-03       2.057378075602e+04 
       9.380896267550e-03       2.070179047853e+04 
       9.508507750939e-03       2.082683563472e+04 
       9.636169394417e-03       2.094894904209e+04 
       9.763879980420e-03       2.106816656608e+04 
       9.891638369774e-03       2.118450687477e+04 
       1.001944349732e-02       2.129801374691e+04 
       1.014729436787e-02       2.140870906131e+04 
       1.027519005242e-02       2.151662600282e+04 
       1.040312968472e-02       2.162179996510e+04 
       1.053111245801e-02       2.172425592152e+04 
       1.065913762202e-02       2.182402144216e+04 
       1.078720448019e-02       2.192113126560e+04 
       1.091531238709e-02       2.201560888679e+04 
       1.104346074603e-02       2.210749296981e+04 
       1.117164900679e-02       2.219680716689e+04 
       1.129987666358e-02       2.228357703594e+04 
       1.142814325308e-02       2.236783586646e+04 
       1.155644835267e-02       2.244960799403e+04 
       1.168479157873e-02       2.252893612539e+04 
       1.181317258511e-02       2.260583324106e+04 
       1.194159106167e-02       2.268032833965e+04 
       1.207004673294e-02       2.275244813133e+04 
       1.219853935687e-02       2.282223350743e+04 
       1.232706872366e-02       2.288969866193e+04 
       1.245563465470e-02       2.295487478282e+04 
       1.258423700154e-02       2.301778340371e+04 
       1.271287564497e-02       2.307845653212e+04 
       1.284155049418e-02       2.313692756511e+04 
       1.297026148591e-02       2.319321337761e+04 
       1.309900858374e-02       2.324733578909e+04 
       1.322779177743e-02       2.329933791334e+04 
       1.335661108223e-02       2.334923209424e+04 
       1.348546653834e-02       2.339705483663e+04 
       1.361435821036e-02       2.344280906348e+04 
       1.374328618681e-02       2.348654630882e+04 
       1.387225057967e-02       2.352826646083e+04 
       1.400125152397e-02       2.356800179865e+04 
       1.413028917743e-02       2.360579160596e+04 
       1.425936372009e-02       2.364163122212e+04 
       1.438847535408e-02       2.367555554347e+04 
       1.451762430326e-02       2.370759782141e+04 
       1.464681081307e-02       2.373778312298e+04 
       1.477603515024e-02       2.376610732006e+04 
       1.490529760267e-02       2.379262714709e+04 
       1.503459847925e-02       2.381734126741e+04 
       1.516393810973e-02       2.384028108928e+04 
       1.529331684464e-02       2.386146565118e+04 
       1.542273505518e-02       2.388092332616e+04 
       1.555219313319e-02       2.389866953314e+04 
       1.568169149110e-02       2.391472973373e+04 
       1.581123056193e-02       2.392911458839e+04 
       1.594081079931e-02       2.394185895572e+04 
       1.607043267749e-02       2.395298450829e+04 
       1.620009669138e-02       2.396249783962e+04 
       1.632980335667e-02       2.397043052053e+04 
       1.645955320986e-02       2.397679435335e+04 
       1.658934680842e-02       2.398162490087e+04 
       1.671918473086e-02       2.398492700192e+04 
       1.684906757693e-02       2.398673406785e+04 
       1.697899596775e-02       2.398704882058e+04 
       1.710897054598e-02       2.398591277148e+04 
       1.723899197605e-02       2.398332523217e+04 
       1.736906094433e-02       2.397932763691e+04 
       1.749917815941e-02       2.397390822450e+04 
       1.762934435229e-02       2.396711756183e+04 
       1.775956027670e-02       2.395895919584e+04 
       1.788982670932e-02       2.394943872270e+04 
       1.802014445014e-02       2.393861467765e+04 
       1.815051432273e-02       2.392648133357e+04 
       1.828093717457e-02       2.391305485216e+04 
       1.841141387741e-02       2.389834580089e+04 
       1.854194532765e-02       2.388238965537e+04 
       1.867253244668e-02       2.386521697824e+04 
       1.880317618130e-02       2.384680342849e+04 
       1.893387750414e-02       2.382719480901e+04 
       1.906463741407e-02       2.380642079212e+04 
       1.919545693667e-02       2.378445887446e+04 
       1.932633712469e-02       2.376137593960e+04 
       1.945727905854e-02       2.373715736693e+04 
       1.958828384677e-02       2.371184384327e+04 
       1.971935262661e-02       2.368542840842e+04 
       1.985048656452e-02       2.365794885514e+04 
       1.998168685673e-02       2.362936867768e+04 
       2.011295472984e-02       2.359977240447e+04 
       2.024429144139e-02       2.356915690228e+04 
       2.037569828051e-02       2.353753743967e+04 
       2.050717656854e-02       2.350492151961e+04 
       2.063872765972e-02       2.347133786537e+04 
       2.077035294182e-02       2.343676813724e+04 
       2.090205383690e-02       2.340128011208e+04 
       2.103383180203e-02       2.336487951306e+04 
