# Matter power spectrum P(k) at redshift z=0
# for k=1.05078e-05 to 36.5153 h/Mpc,
# number of wavenumbers equal to 554
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.050775643281e-05       4.756689280248e+01 
       2.335822474937e-05       1.028635248180e+02 
       3.625389040499e-05       1.572469242520e+02 
       4.922928651888e-05       2.112790141397e+02 
       6.231951663650e-05       2.652833155208e+02 
       7.556056626414e-05       3.195043330050e+02 
       8.898962434547e-05       3.741524133915e+02 
       1.026454189362e-04       4.294222013264e+02 
       1.165685713654e-04       4.855021388848e+02 
       1.308019732065e-04       5.425802417027e+02 
       1.453911903857e-04       6.008481461107e+02 
       1.603848987003e-04       6.605042620174e+02 
       1.758353548451e-04       7.217565032008e+02 
       1.917989066864e-04       7.848247691307e+02 
       2.083365458814e-04       8.499433617070e+02 
       2.255145048950e-04       9.173633557429e+02 
       2.434048988421e-04       9.873550008033e+02 
       2.620864101790e-04       1.060210152504e+03 
       2.816450108084e-04       1.136244699704e+03 
       3.021747113342e-04       1.215800983582e+03 
       3.237783206306e-04       1.299250100192e+03 
       3.465681901835e-04       1.386994003650e+03 
       3.706669064485e-04       1.479467242340e+03 
       3.962078804917e-04       1.577138128967e+03 
       4.233357674478e-04       1.680509069358e+03 
       4.522066293369e-04       1.790115719249e+03 
       4.829877348098e-04       1.906524565624e+03 
       5.158568708836e-04       2.030328486740e+03 
       5.510010286148e-04       2.162139789326e+03 
       5.886143226059e-04       2.302580281372e+03 
       6.288950204107e-04       2.452268019200e+03 
       6.720416000720e-04       2.611800558456e+03 
       7.182478286549e-04       2.781734863698e+03 
       7.676969638083e-04       2.962564444348e+03 
       8.205553181619e-04       3.154694928530e+03 
       8.769655757080e-04       3.358419586163e+03 
       9.370403816752e-04       3.573897012175e+03 
       1.000856806946e-03       3.801133265796e+03 
       1.068452281323e-03       4.039970608052e+03 
       1.139822478573e-03       4.290084615103e+03 
       1.214921427739e-03       4.550990232032e+03 
       1.293663856233e-03       4.822056850374e+03 
       1.375929496806e-03       5.102488729310e+03 
       1.461568871522e-03       5.391470100741e+03 
       1.550409942814e-03       5.688086873272e+03 
       1.642265007844e-03       5.991384767623e+03 
       1.736937292145e-03       6.300399446496e+03 
