# Matter power spectrum P(k) at redshift z=0
# for k=1.05166e-05 to 37.7548 h/Mpc,
# number of wavenumbers equal to 555
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.051656959383e-05       4.660747844758e+01 
       2.336705716903e-05       1.007439190517e+02 
       3.626276566198e-05       1.539866180485e+02 
       4.923822847814e-05       2.068852848919e+02 
       6.232854966062e-05       2.597564480505e+02 
       7.556971543015e-05       3.128393125580e+02 
       8.899891566988e-05       3.663396513273e+02 
       1.026548796112e-04       4.204478534525e+02 
       1.165782300096e-04       4.753482171667e+02 
       1.308118601321e-04       5.312246009395e+02 
       1.454013378864e-04       5.882643750707e+02 
       1.603953413620e-04       6.466615078209e+02 
       1.758461298822e-04       7.066192226179e+02 
       1.918100543065e-04       7.683524277685e+02 
       2.083481096796e-04       8.320900536522e+02 
       2.255265322790e-04       8.980773827681e+02 
       2.434174414882e-04       9.665783669499e+02 
       2.620995245156e-04       1.037878000508e+03 
       2.816587585225e-04       1.112284665533e+03 
       3.021891598918e-04       1.190132482419e+03 
       3.237935437961e-04       1.271783525115e+03 
       3.465842685179e-04       1.357629860969e+03 
       3.706839277559e-04       1.448095195566e+03 
       3.962259401747e-04       1.543635998716e+03 
       4.233549687180e-04       1.644741768052e+03 
       4.522270832152e-04       1.751934178464e+03 
       4.830095598370e-04       1.865764671897e+03 
       5.158801924488e-04       1.986810099173e+03 
       5.510259778056e-04       2.115665908659e+03 
       5.886410344876e-04       2.252936455138e+03 
       6.289236316587e-04       2.399222126530e+03 
       6.720722459251e-04       2.555103072290e+03 
       7.182806392167e-04       2.721119744153e+03 
       7.677320598124e-04       2.897750810798e+03 
       8.205928064159e-04       3.085389551386e+03 
       8.770055445343e-04       3.284320239161e+03 
       9.370828967404e-04       3.494696660105e+03 
       1.000901907901e-03       3.716524865417e+03 
       1.068499979639e-03       3.949652198229e+03 
       1.139872756832e-03       4.193764459608e+03 
       1.214974240500e-03       4.448391565456e+03 
       1.293719132354e-03       4.712921814907e+03 
       1.375987142975e-03       4.986582402201e+03 
       1.461628776598e-03       5.268580975930e+03 
       1.550471982543e-03       5.558028589798e+03 
       1.642329049546e-03       5.853996464671e+03 
       1.737003199034e-03       6.155545555807e+03 
       1.834294472687e-03       6.461749145962e+03 
       1.934004669485e-03       6.771711437181e+03 
       2.035941235701e-03       7.084581590608e+03 
       2.139920128297e-03       7.399563066083e+03 
       2.245767750772e-03       7.715920333373e+03 
       2.353322103132e-03       8.032980348610e+03 
       2.462433301702e-03       8.350133655351e+03 
       2.572963618949e-03       8.666832939037e+03 
       2.684787176607e-03       8.982588283733e+03 
       2.797789403358e-03       9.296965971286e+03 
       2.911866345595e-03       9.609581920657e+03 
       3.026923898771e-03       9.920098970776e+03 
       3.142877008778e-03       1.022822245912e+04 
       3.259648878144e-03       1.053369390736e+04 
       3.377170200299e-03       1.083629096296e+04 
       3.495378436475e-03       1.113581830541e+04 
       3.614217143445e-03       1.143211013639e+04 
       3.733635355754e-03       1.172502377968e+04 
       3.853587022988e-03       1.201443753268e+04 
       3.974030500588e-03       1.230024935529e+04 
       4.094928091414e-03       1.258237214257e+04 
       4.216245634564e-03       1.286073671888e+04 
       4.337952137602e-03       1.313528225879e+04 
       4.460019448250e-03       1.340596535489e+04 
       4.582421961729e-03       1.367274690033e+04 
       4.705136360078e-03       1.393560128671e+04 
       4.828141380074e-03       1.419450256740e+04 
       4.951417606619e-03       1.444943396883e+04 
       5.074947288778e-03       1.470041835985e+04 
       5.198714175914e-03       1.494742735552e+04 
       5.322703371634e-03       1.519047791475e+04 
       5.446901203526e-03       1.542956701540e+04 
       5.571295106872e-03       1.566470942265e+04 
       5.695873520734e-03       1.589591910506e+04 
       5.820625795015e-03       1.612320755216e+04 
       5.945542107239e-03       1.634659873469e+04 
       6.070613387939e-03       1.656611663721e+04 
