# Matter power spectrum P(k) at redshift z=0
# for k=1.05078e-05 to 36.5153 h/Mpc,
# number of wavenumbers equal to 554
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.050775643281e-05       4.426013968771e+01 
       2.335822474937e-05       9.609572076576e+01 
       3.625389040499e-05       1.472242598694e+02 
       4.922928651888e-05       1.981152590397e+02 
       6.231951663650e-05       2.490482556879e+02 
       7.556056626414e-05       3.002400857955e+02 
       8.898962434547e-05       3.518809007111e+02 
       1.026454189362e-04       4.041491213702e+02 
       1.165685713654e-04       4.572192449359e+02 
       1.308019732065e-04       5.112666839230e+02 
       1.453911903857e-04       5.664712370636e+02 
       1.603848987003e-04       6.230198571496e+02 
       1.758353548451e-04       6.811091017960e+02 
       1.917989066864e-04       7.409474006363e+02 
       2.083365458814e-04       8.027572948287e+02 
       2.255145048950e-04       8.667776566524e+02 
       2.434048988421e-04       9.332659563292e+02 
       2.620864101790e-04       1.002500570416e+03 
       2.816450108084e-04       1.074783097409e+03 
       3.021747113342e-04       1.150440674850e+03 
       3.237783206306e-04       1.229828193805e+03 
       3.465681901835e-04       1.313330330734e+03 
       3.706669064485e-04       1.401363236340e+03 
       3.962078804917e-04       1.494375690528e+03 
       4.233357674478e-04       1.592849460023e+03 
       4.522066293369e-04       1.697298541417e+03 
       4.829877348098e-04       1.808266902371e+03 
       5.158568708836e-04       1.926324292091e+03 
       5.510010286148e-04       2.052059638047e+03 
       5.886143226059e-04       2.186071601454e+03 
       6.288950204107e-04       2.328955939511e+03 
       6.720416000720e-04       2.481289503628e+03 
       7.182478286549e-04       2.643611012877e+03 
       7.676969638083e-04       2.816399137210e+03 
       8.205553181619e-04       3.000049041495e+03 
       8.769655757080e-04       3.194848833010e+03 
       9.370403816752e-04       3.400958027451e+03 
       1.000856806946e-03       3.618390237094e+03 
       1.068452281323e-03       3.847002144147e+03 
       1.139822478573e-03       4.086490478292e+03 
       1.214921427739e-03       4.336397561473e+03 
       1.293663856233e-03       4.596125519337e+03 
       1.375929496806e-03       4.864917526516e+03 
       1.461568871522e-03       5.141996121549e+03 
       1.550409942814e-03       5.426488670416e+03 
       1.642265007844e-03       5.717482899511e+03 
