# Dimensionless power spectra l*(l+1)*C_l/(2*pi)
# [0] l, [1] l1l1, [2] l1l2, [3] l2l2,
2 2.383333E-08 2.510123E-08 2.653139E-08 
3 4.968711E-08 5.276131E-08 5.631524E-08 
4 8.390981E-08 8.970467E-08 9.653327E-08 
5 1.254657E-07 1.349209E-07 1.462397E-07 
6 1.729855E-07 1.870060E-07 2.040217E-07 
7 2.252933E-07 2.447285E-07 2.686070E-07 
8 2.813463E-07 3.069743E-07 3.388161E-07 
9 3.402315E-07 3.727502E-07 4.135740E-07 
10 4.011678E-07 4.411904E-07 4.919228E-07 
11 4.634973E-07 5.115524E-07 5.730231E-07 
12 5.266747E-07 5.832082E-07 6.561486E-07 
13 5.902539E-07 6.556334E-07 7.406776E-07 
14 6.538757E-07 7.283956E-07 8.260834E-07 
15 7.172561E-07 8.011434E-07 9.119254E-07 
16 7.801747E-07 8.735956E-07 9.978385E-07 
17 8.424650E-07 9.455319E-07 1.083525E-06 
18 9.040074E-07 1.016786E-06 1.168747E-06 
19 9.647116E-07 1.087224E-06 1.253307E-06 
20 1.024529E-06 1.156766E-06 1.337069E-06 
21 1.083426E-06 1.225347E-06 1.419916E-06 
22 1.141392E-06 1.292936E-06 1.501775E-06 
23 1.198429E-06 1.359512E-06 1.582587E-06 
24 1.254550E-06 1.425078E-06 1.662325E-06 
25 1.309776E-06 1.489643E-06 1.740971E-06 
26 1.364133E-06 1.553228E-06 1.818526E-06 
27 1.417648E-06 1.615856E-06 1.894997E-06 
28 1.470350E-06 1.677556E-06 1.970403E-06 
29 1.522271E-06 1.738361E-06 2.044768E-06 
30 1.573437E-06 1.798301E-06 2.118117E-06 
31 1.623870E-06 1.857403E-06 2.190479E-06 
32 1.673597E-06 1.915700E-06 2.261888E-06 
33 1.722639E-06 1.973219E-06 2.332372E-06 
34 1.771007E-06 2.029980E-06 2.401959E-06 
35 1.818718E-06 2.086006E-06 2.470677E-06 
36 1.865781E-06 2.141314E-06 2.538552E-06 
37 1.912195E-06 2.195910E-06 2.605600E-06 
38 1.957975E-06 2.249817E-06 2.671850E-06 
39 2.003127E-06 2.303046E-06 2.737323E-06 
40 2.047646E-06 2.355598E-06 2.802030E-06 
41 2.091515E-06 2.407461E-06 2.865971E-06 
42 2.134737E-06 2.458645E-06 2.929161E-06 
43 2.177313E-06 2.509151E-06 2.991612E-06 
44 2.219227E-06 2.558969E-06 3.053320E-06 
45 2.260461E-06 2.608080E-06 3.114275E-06 
46 2.301016E-06 2.656488E-06 3.174487E-06 
47 2.340895E-06 2.704196E-06 3.233963E-06 
48 2.380089E-06 2.751194E-06 3.292698E-06 
49 2.418579E-06 2.797462E-06 3.350676E-06 
50 2.456343E-06 2.842974E-06 3.407872E-06 
51 2.493380E-06 2.887728E-06 3.464289E-06 
52 2.529695E-06 2.931725E-06 3.519926E-06 
53 2.565283E-06 2.974957E-06 3.574776E-06 
54 2.600131E-06 3.017406E-06 3.628819E-06 
55 2.634226E-06 3.059053E-06 3.682032E-06 
56 2.667576E-06 3.099901E-06 3.734418E-06 
57 2.700189E-06 3.139956E-06 3.785978E-06 
58 2.732072E-06 3.179218E-06 3.836710E-06 
59 2.763224E-06 3.217681E-06 3.886602E-06 
60 2.793640E-06 3.255332E-06 3.935634E-06 
61 2.823315E-06 3.292158E-06 3.983785E-06 
62 2.852263E-06 3.328170E-06 4.031061E-06 
63 2.880502E-06 3.363382E-06 4.077472E-06 
64 2.908049E-06 3.397806E-06 4.123023E-06 
65 2.934917E-06 3.431449E-06 4.167714E-06 
66 2.961114E-06 3.464316E-06 4.211541E-06 
67 2.986648E-06 3.496406E-06 4.254493E-06 
68 3.011526E-06 3.527720E-06 4.296559E-06 
69 3.035768E-06 3.558277E-06 4.337755E-06 
70 3.059399E-06 3.588099E-06 4.378095E-06 
71 3.082441E-06 3.617207E-06 4.417596E-06 
72 3.104914E-06 3.645620E-06 4.456268E-06 
73 3.126838E-06 3.673353E-06 4.494123E-06 
74 3.148229E-06 3.700421E-06 4.531164E-06 
75 3.169101E-06 3.726836E-06 4.567396E-06 
76 3.189469E-06 3.752610E-06 4.602820E-06 
77 3.209355E-06 3.777765E-06 4.637457E-06 
78 3.228785E-06 3.802329E-06 4.671332E-06 
79 3.247781E-06 3.826324E-06 4.704467E-06 
80 3.266366E-06 3.849775E-06 4.736882E-06 
81 3.284559E-06 3.872702E-06 4.768597E-06 
82 3.302380E-06 3.895125E-06 4.799630E-06 
83 3.319843E-06 3.917061E-06 4.829996E-06 
84 3.336964E-06 3.938528E-06 4.859709E-06 
85 3.353762E-06 3.959547E-06 4.888789E-06 
86 3.370251E-06 3.980143E-06 4.917258E-06 
87 3.386448E-06 4.000336E-06 4.945133E-06 
88 3.402366E-06 4.020147E-06 4.972433E-06 
89 3.418015E-06 4.039592E-06 4.999171E-06 
90 3.433402E-06 4.058690E-06 5.025361E-06 
91 3.448534E-06 4.077452E-06 5.051013E-06 
92 3.463415E-06 4.095892E-06 5.076135E-06 
