# Matter power spectrum P(k) at redshift z=0
# for k=1.02819e-05 to 7.02634 h/Mpc,
# number of wavenumbers equal to 547
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.028193304956e-05       4.062494149373e+01 
       2.292596879279e-05       9.058183953852e+01 
       3.561291469159e-05       1.407060566505e+02 
       4.837565930527e-05       1.911262824989e+02 
       6.124761604038e-05       2.419731867451e+02 
       7.426301026995e-05       2.933805379820e+02 
       8.745717531981e-05       3.454863371578e+02 
       1.008668611263e-04       3.984339838018e+02 
       1.145305593988e-04       4.523735245747e+02 
       1.284888491529e-04       5.074629543930e+02 
       1.427847664916e-04       5.638696141288e+02 
       1.574642024722e-04       6.217716816730e+02 
       1.725763327628e-04       6.813597716374e+02 
       1.881740825094e-04       7.428386629041e+02 
       2.043146293190e-04       8.064291405396e+02 
       2.210599464202e-04       8.723699784838e+02 
       2.384773867512e-04       9.409200389124e+02 
       2.566403067723e-04       1.012360492385e+03 
       2.756287259939e-04       1.086997121148e+03 
       2.955300142802e-04       1.165162666817e+03 
       3.164395936336e-04       1.247219162302e+03 
       3.384616340464e-04       1.333560142702e+03 
       3.617097137895e-04       1.424612612655e+03 
       3.863074029424e-04       1.520838583483e+03 
       4.123887149632e-04       1.622735939781e+03 
       4.400983549121e-04       1.730838355075e+03 
       4.695916754169e-04       1.845713879739e+03 
       5.010342342828e-04       1.967961775014e+03 
       5.346008336792e-04       2.098207153343e+03 
       5.704739143395e-04       2.237092920145e+03 
       6.088411848680e-04       2.385268623636e+03 
       6.498923926600e-04       2.543375902964e+03 
       6.938151954155e-04       2.712030502790e+03 
       7.407901746295e-04       2.891801116862e+03 
       7.909851433023e-04       3.083185881530e+03 
       8.445490296370e-04       3.286587709538e+03 
       9.016057469137e-04       3.502290313043e+03 
       9.622485587363e-04       3.730437000303e+03 
       1.026535487353e-03       3.971014505441e+03 
       1.094486266551e-03       4.223843837116e+03 
       1.166081202994e-03       4.488579530410e+03 
       1.241262098242e-03       4.764714930869e+03 
       1.319935137829e-03       5.051563367912e+03 
       1.401975424923e-03       5.348398911705e+03 
       1.487232670771e-03       5.654363923540e+03 
       1.575537479650e-03       5.968537438928e+03 
       1.666707684494e-03       6.289963441254e+03 
       1.760554280596e-03       6.617676289150e+03 
       1.856886637043e-03       6.950722691523e+03 
       1.955516806207e-03       7.288179383326e+03 
       2.056262876163e-03       7.629166628205e+03 
       2.158951405500e-03       7.972858018157e+03 
       2.263419041109e-03       8.318484935725e+03 
       2.369513450658e-03       8.665341090224e+03 
       2.477093709426e-03       9.012781964704e+03 
       2.586030273779e-03       9.360222588648e+03 
       2.696204657416e-03       9.707136280904e+03 
       2.807508906810e-03       1.005305001406e+04 
       2.919844952274e-03       1.039754424246e+04 
       3.033123892910e-03       1.074024321262e+04 
       3.147265258096e-03       1.108081585658e+04 
       3.262196275548e-03       1.141896660777e+04 
       3.377851166084e-03       1.175443792923e+04 
       3.494170477688e-03       1.208700286877e+04 
       3.611100466005e-03       1.241645949131e+04 
       3.728592524419e-03       1.274263419095e+04 
       3.846602664179e-03       1.306537822948e+04 
       3.965091043213e-03       1.338455671696e+04 
       4.084021541171e-03       1.370005268714e+04 
       4.203361377565e-03       1.401177728944e+04 
       4.323080769568e-03       1.431963763173e+04 
       4.443152625960e-03       1.462356796457e+04 
       4.563552273777e-03       1.492350941275e+04 
       4.684257214374e-03       1.521938444177e+04 
       4.805246905838e-03       1.551118453623e+04 
       4.926502568931e-03       1.579889242623e+04 
       5.048007013996e-03       1.608245316960e+04 
